institutionId:ID,name,:LABEL
237123,《文化中国》投资基金管理有限公司,金融机构
237124,一壹(天津)影视文化股权投资基金合伙企业(有限合伙),金融机构
237125,一壹联合(天津)影视投资基金合伙企业(有限合伙),金融机构
237126,一带一路(江苏)沿海开发投资基金(有限合伙),金融机构
237127,万向信托股份公司,金融机构
237128,万和证券股份有限公司,金融机构
237129,万和证券股份有限公司深圳前海证券营业部,金融机构
237130,万和证券股份有限公司深圳深南大道证券营业部,金融机构
237131,万和证券股份有限公司深圳笋岗东路证券营业部,金融机构
237132,万和证券股份有限公司深圳第一分公司,金融机构
237133,万和证券股份有限公司深圳龙华证券营业部,金融机构
237134,万宝电器集团财务公司驻深圳证券代表处,金融机构
237135,万科信泰基金管理(深圳)有限公司,金融机构
237136,万能小哥(海南)创业投资基金合伙企业(有限合伙),金融机构
237137,三亚农村商业银行股份有限公司,金融机构
237138,三亚市基础设施建设股权投资基金合伙企业(有限合伙),金融机构
237139,三亚市新机场建设股权投资基金合伙企业(有限合伙),金融机构
237140,三亚惠民村镇银行股份有限公司,金融机构
237141,三亚联合证券交易部,金融机构
237142,三峡保险经纪有限责任公司,金融机构
237143,三浦科创固安科技股权投资基金中心(有限合伙),金融机构
237144,三都贵银精准扶贫基金管理中心(有限合伙),金融机构
237145,上杭中成村镇银行股份有限公司,金融机构
237146,上杭县产业发展股权投资基金有限责任公司,金融机构
237147,上海万丰友方六期股权投资基金合伙企业(有限合伙),金融机构
237148,上海万国证券公司,金融机构
237149,上海东厦股权投资基金有限公司,金融机构
237150,上海东大保险经纪有限责任公司,金融机构
237151,上海东方睿德股权投资基金有限公司,金融机构
237152,上海东方证券创新投资有限公司,金融机构
237153,上海东方证券资本投资有限公司,金融机构
237154,上海东源汇信股权投资基金管理有限公司,金融机构
237155,上海东瑞保险代理有限公司,金融机构
237156,上海东证今缘股权投资基金合伙企业(有限合伙),金融机构
237157,上海东证锡毅股权投资基金合伙企业(有限合伙),金融机构
237158,上海中以智教股权投资基金管理有限公司,金融机构
237159,上海中保浦东城市发展股权投资基金合伙企业(有限合伙),金融机构
237160,上海中南源地股权投资基金管理有限公司,金融机构
237161,上海中南磐顺股权投资基金管理有限公司,金融机构
237162,上海中叶上善股权投资基金合伙企业(有限合伙),金融机构
237163,上海中叶上泰股权投资基金合伙企业(有限合伙),金融机构
237164,上海中叶善泰股权投资基金合伙企业(有限合伙),金融机构
237165,上海中城年代股权投资基金管理有限公司,金融机构
237166,上海中城荣耀股权投资基金管理有限公司,金融机构
237167,上海中安联合投资基金股份有限公司,金融机构
237168,上海中林财富股权投资基金有限公司,金融机构
237169,上海中联易达保险公估有限公司,金融机构
237170,上海丰通股权投资基金合伙企业(有限合伙),金融机构
237171,上海临港东方君和科创产业股权投资基金合伙企业(有限合伙),金融机构
237172,上海临港华宝股权投资基金管理有限公司,金融机构
237173,上海临港园开股权投资基金合伙企业(有限合伙),金融机构
237174,上海云枫股权投资基金管理有限公司,金融机构
237175,上海云湾基金销售有限公司,金融机构
237176,上海亿淳股权投资基金管理有限公司,金融机构
237177,上海优美缔股权投资基金合伙企业(有限合伙),金融机构
237178,上海保运股权投资基金管理有限公司,金融机构
237179,上海保运荣股权投资基金合伙企业(有限合伙),金融机构
237180,上海健康医疗产业股权投资基金合伙企业(有限合伙),金融机构
237181,上海元沣股权投资基金有限公司,金融机构
237182,上海全顺保险经纪有限公司,金融机构
237183,上海军民融合产业股权投资基金合伙企业(有限合伙),金融机构
237184,上海凯领股权投资基金管理有限公司,金融机构
237185,上海利得保险经纪有限公司,金融机构
237186,上海利得基金销售有限公司,金融机构
237187,上海前宇股权投资基金管理有限公司,金融机构
237188,上海北乾股权投资基金中心(有限合伙),金融机构
237189,上海半导体装备材料产业投资基金合伙企业(有限合伙),金融机构
237190,上海华信傲南股权投资基金管理有限公司,金融机构
237191,上海华信国际集团股权投资基金管理有限公司,金融机构
237192,上海华信证券有限责任公司,金融机构
237193,上海华信证券有限责任公司深圳科园路证券营业部,金融机构
237194,上海华联国际信托贸易有限公司,金融机构
237195,上海华谊集团股权投资基金管理有限公司,金融机构
237196,上海名城股权投资基金有限公司,金融机构
237197,上海君信科创股权投资基金合伙企业(有限合伙),金融机构
237198,上海吾同玉凤股权投资基金合伙企业(有限合伙),金融机构
237199,上海和齐股权投资基金合伙企业(有限合伙),金融机构
237200,上海唯家保险经纪有限公司,金融机构
237201,上海商宝通保险公估有限公司,金融机构
237202,上海善翔股权投资基金管理有限公司,金融机构
237203,上海嘉定民生村镇银行股份有限公司,金融机构
237204,上海嘉定洪都村镇银行股份有限公司,金融机构
237205,上海国企改革发展股权投资基金合伙企业(有限合伙),金融机构
237206,上海国华资产保险投资顾问有限公司,金融机构
237207,上海国合产融股权投资基金合伙企业(有限合伙),金融机构
237208,上海国和现代服务业股权投资基金合伙企业(有限合伙),金融机构
237209,上海国学微影股权投资基金管理有限公司,金融机构
237210,上海国方母基金一期股权投资合伙企业(有限合伙),金融机构
237211,上海国方母基金二期股权投资合伙企业(有限合伙),金融机构
237212,上海国方母基金股权投资管理有限公司,金融机构
237213,上海国滨股权投资基金合伙企业(有限合伙),金融机构
237214,上海国药三期股权投资基金合伙企业(有限合伙),金融机构
237215,上海国药二期股权投资基金合伙企业(有限合伙),金融机构
237216,上海国药创新股权投资基金合伙企业(有限合伙),金融机构
237217,上海国药医疗器械股权投资基金合伙企业(有限合伙),金融机构
237218,上海国药圣礼股权投资基金合伙企业(有限合伙),金融机构
237219,上海国药并购股权投资基金合伙企业(有限合伙),金融机构
237220,上海国药股权投资基金合伙企业(有限合伙),金融机构
237221,上海国金理益财富基金销售有限公司,金融机构
237222,上海国金鼎兴一期股权投资基金中心(有限合伙),金融机构
237223,上海国金鼎兴二期股权投资基金中心(有限合伙),金融机构
237224,上海国锐股权投资基金管理有限公司,金融机构
237225,上海国际创投股权投资基金管理有限公司,金融机构
237226,上海城创城市更新股权投资基金合伙企业(有限合伙),金融机构
237227,上海城建三期股权投资基金合伙企业(有限合伙),金融机构
237228,上海城建二期股权投资基金合伙企业(有限合伙),金融机构
237229,上海城建五期股权投资基金合伙企业(有限合伙),金融机构
237230,上海城建六期股权投资基金合伙企业(有限合伙),金融机构
237231,上海城建晟炽股权投资基金合伙企业(有限合伙),金融机构
237232,上海城建股权投资基金管理(深圳)有限公司,金融机构
237233,上海基煜基金销售有限公司,金融机构
237234,上海境泽股权投资基金合伙企业(有限合伙),金融机构
237235,上海壹斯股权投资基金合伙企业(有限合伙),金融机构
237236,上海壹沿股权投资基金合伙企业(有限合伙),金融机构
237237,上海复星创富股权投资基金合伙企业(有限合伙),金融机构
237238,上海复星创泓股权投资基金合伙企业(有限合伙),金融机构
237239,上海复鑫股权投资基金合伙企业(有限合伙),金融机构
237240,上海天行股权投资基金管理有限公司,金融机构
237241,上海太富祥中股权投资基金合伙企业(有限合伙),金融机构
237242,上海太富祥屹股权投资基金合伙企业(有限合伙),金融机构
237243,上海太富祥征股权投资基金合伙企业(有限合伙),金融机构
237244,上海太平洋商务信托有限公司,金融机构
237245,上海奥氏海外投资基金合伙企业(有限合伙),金融机构
237246,上海好买基金销售有限公司,金融机构
237247,上海好买基金销售有限公司深圳分公司,金融机构
237248,上海威孚平安股权投资基金中心(有限合伙),金融机构
237249,上海实银股权投资基金管理中心(有限合伙),金融机构
237250,上海富悦股权投资基金管理有限公司,金融机构
237251,上海尚颀股权投资基金一期合伙企业(有限合伙),金融机构
237252,上海山金金元股权投资基金有限公司,金融机构
237253,上海岑微股权投资基金合伙企业(有限合伙),金融机构
237254,上海并购股权投资基金二期合伙企业(有限合伙),金融机构
237255,上海并购股权投资基金合伙企业(有限合伙),金融机构
237256,上海广发恒进股权投资基金管理有限公司,金融机构
237257,上海广汇德太保险公估有限公司,金融机构
237258,上海康融股权投资基金合伙企业(有限合伙),金融机构
237259,上海开象股权投资基金管理有限公司,金融机构
237260,上海征和股权投资基金合伙企业(有限合伙),金融机构
237261,上海征尔股权投资基金合伙企业(有限合伙),金融机构
237262,上海征成股权投资基金合伙企业(有限合伙),金融机构
237263,上海征祺股权投资基金合伙企业(有限合伙),金融机构
237264,上海御泓经典股权投资基金合伙企业(有限合伙),金融机构
237265,上海德同众媒股权投资基金中心(有限合伙),金融机构
237266,上海德同共盈股权投资基金中心(有限合伙),金融机构
237267,上海德同北大医药产业并购股权投资基金管理有限公司,金融机构
237268,上海德同合心股权投资基金中心(有限合伙),金融机构
237269,上海德同益民消费产业股权投资基金中心(有限合伙),金融机构
237270,上海德同诚鼎股权投资基金中心(有限合伙),金融机构
237271,上海德同诚鼎股权投资基金管理有限公司,金融机构
