bond_nameId:ID,name,:LABEL
301964,97国电债,债券简称
301965,96吉化债,债券简称
301966,97吉化债,债券简称
301967,98倍特高新企业债,债券简称
301968,97神龙汽车债券,债券简称
301969,97中国神马债券,债券简称
301970,98华远债券,债券简称
301971,97东风汽车公司债券,债券简称
301972,湖北宜化企业债券,债券简称
301973,威海电厂,债券简称
301974,湖南建设,债券简称
301975,98湖北电力开发债券,债券简称
301976,98贵州电力开发债券,债券简称
301977,98大连建设债券,债券简称
301978,97梅山债,债券简称
301979,97年武钢电力建设债,债券简称
301980,98长乐机场建设债券,债券简称
301981,中信983,债券简称
301982,98闽泉厦高速公路债,债券简称
301983,山西焦化企业债券,债券简称
301984,97鄂昌丰化纤企业债,债券简称
301985,厦门航空工业企业债券,债券简称
301986,98湖南五凌水电债券,债券简称
301987,98上海市政债01(3年),债券简称
301988,98上海市政债01(5年),债券简称
301989,98浦东建设债券(3年),债券简称
301990,98浦东建设债券(5年),债券简称
301991,江西横南铁路建设债券,债券简称
301992,国祯能源97企业债,债券简称
301993,扬州南绕城公路债,债券简称
301994,98三峡(3),债券简称
301995,98三峡(8),债券简称
301996,1999浦东建设债券,债券简称
301997,98年中国光大建设债,债券简称
301998,1999年草原兴发企业债,债券简称
301999,96年湖北中天企业债,债券简称
302000,1996年新天国际企业债,债券简称
302001,1999年银广夏企业债,债券简称
302002,1999年岷江水电企业债,债券简称
302003,1999年西宁特钢企业债,债券简称
302004,一汽金杯企业债,债券简称
302005,98中信(7),债券简称
302006,98燃气债,债券简称
302007,净月潭债,债券简称
302008,鲁抗医药企业债,债券简称
302009,扩建债券,债券简称
302010,天发债券,债券简称
302011,福建南纸,债券简称
302012,蓝田债券,债券简称
302013,98石油债,债券简称
302014,鲁北债券,债券简称
302015,华能债券,债券简称
302016,振业债券,债券简称
302017,98梅山债,债券简称
302018,赛格债券,债券简称
302019,华银债券,债券简称
302020,久事债券,债券简称
302021,曙光债券,债券简称
302022,98东风债,债券简称
302023,融发债券,债券简称
302024,珊溪债券,债券简称
302025,96江西电力债券,债券简称
302026,2000年浦东建设债券,债券简称
302027,陆家嘴债(1),债券简称
302028,陆家嘴债(2),债券简称
302029,滇98债,债券简称
302030,云98二期公路债(5年),债券简称
302031,96梅山债,债券简称
302032,99川投债,债券简称
302033,99三峡债,债券简称
302034,99宝钢债,债券简称
302035,99渝奎星旧城改建债,债券简称
302036,96广东电力债券,债券简称
302037,98苏交通投资企业债,债券简称
302038,98广西高速公路建设债,债券简称
302039,陕西金花企业债券,债券简称
302040,鄂清江水电98企业债,债券简称
302041,99京首都创业企业债,债券简称
302042,莲花小区建设债券,债券简称
302043,大渡河水电建设债券,债券简称
302044,98东湖高新企业债,债券简称
302045,95吉化债,债券简称
302046,96三峡债,债券简称
302047,99浙上三高速公路债,债券简称
302048,17天泰养老债,债券简称
302049,17遂天泰,债券简称
302050,15桑德CP002,债券简称
302051,17烟台港SCP002,债券简称
302052,18长沙银行CD215,债券简称
302053,18光大银行CD232,债券简称
302054,15余姚交投债08期,债券简称
302055,16闽漳龙SCP004,债券简称
302056,16江苏盱眙农商行CDs05(1Y)(个人),债券简称
302057,18鹤壁农商银行CDs04(1Y)(个人),债券简称
302058,18鹤壁农商银行CDs04(2Y)(个人),债券简称
302059,17金华银行CD130,债券简称
302060,17邯郸银行CD076,债券简称
302061,17巴彦淖尔河套农商行CD011,债券简称
302062,17金华银行CD129,债券简称
302063,17山西运城农商行CD011,债券简称
302064,17山西运城农商行CD012,债券简称
302065,16中船SCP003,债券简称
302066,08沪糖烟CP01,债券简称
302067,18蒙高路SCP001,债券简称
302068,18鄂尔多斯农商行CD032,债券简称
302069,18邯郸银行CD256,债券简称
302070,18柳州银行CD122,债券简称
302071,18江苏江南农村商业银行CDs17(3Y)(单位),债券简称
302072,15桓台金海小微债,债券简称
302073,16中金集SCP001,债券简称
302074,14国开投SCP003,债券简称
302075,15浙元1A1,债券简称
302076,19首业01,债券简称
302077,19首业02,债券简称
302078,16延旅债,债券简称
302079,19临潼债,债券简称
302080,14柳工CP001,债券简称
302081,05杭城建债,债券简称
302082,18阜新银行CD093,债券简称
302083,18河钢集MTN008,债券简称
302084,19苏电01,债券简称
302085,19苏电02,债券简称
302086,17东方园林SCP001,债券简称
302087,17呼和浩特金谷农商行CD049,债券简称
302088,16魏桥铝电SCP010,债券简称
302089,15闽交运SCP003,债券简称
302090,18南山集SCP008,债券简称
302091,17云南红塔银行CD011,债券简称
302092,11湘投CP01,债券简称
302093,16南浔经开债99期,债券简称
302094,PR新沂债,债券简称
302095,15闽投CP001,债券简称
302096,10中铁股CP02,债券简称
302097,17平安租赁SCP008,债券简称
302098,17金华银行CD119,债券简称
302099,07忠旺CP01,债券简称
302100,16荣物05,债券简称
302101,16凯瑞债,债券简称
302102,16光明SCP009,债券简称
302103,14中节能SCP003,债券简称
